Countries and territories,Cases,Deaths,Hospital Beds,Doctors,Nurses,Daily Smokers,Overweight or obese population,Alcohol consumption,Country Code,% 0-14,% 15-64,% 65 and above,Population total,% Male,% Female,Current health expenditure (% of GDP)
kuwait,188,0,,,,,,,KWT,21.53888805,75.91063957,2.550472384,4137309.0,60.45182938,39.54817062,3.9039449999999998
kyrgyzstan,14,0,,,,,,,KGZ,32.35041711,63.15485491,4.494727976,6315800.0,49.47513692,50.52486308,6.62528772
latvia,139,0,5.57,3.21,4.57,,54.6,11.2,LVA,15.99577694,63.96060274,20.04362032,1926542.0,45.98983334,54.01016666,6.24292955
lebanon,248,4,,,,,,,LBN,26.09586717,66.9017647,7.002368134,6848925.0,50.29419448,49.70580552,8.01673185
liberia,3,0,,,,,,,LBR,41.12498659,55.62158161,3.2534318,4818977.0,50.23170898,49.76829102,9.61511081
liechtenstein,46,0,,,,,,,LIE,,,,37910.0,,,
lithuania,143,1,6.56,4.56,7.71,,,12.3,LTU,14.88242451,65.41254234,19.70503316,2789533.0,46.20804135,53.79195865,6.67158258
luxembourg,798,8,4.51,2.98,11.72,14.5,,11.3,LUX,15.87882399,69.93802183,14.18315418,607728.0,50.46074103,49.53925897,6.16378558
madagascar,3,0,,,,,,,MDG,40.66815059,56.34513228,2.9867171260000003,26262368.0,49.87603339,50.12396661,6.00363747
malaysia,1306,10,,,,,,,MYS,23.99514109,69.33310429,6.671754625,31528585.0,51.42147942,48.57852058,3.80219497
maldives,13,0,,,,,,,MDV,20.147916600000002,76.14873879,3.7033446060000004,515696.0,62.73501854,37.26498146,10.61083995
malta,90,0,,,,,,,MLT,14.27690052,65.37377518,20.349324300000003,483530.0,50.12669178,49.87330822,9.29531092
mauritania,2,0,,,,,,,MRT,40.08318282,56.77570502,3.1411121580000003,4403319.0,50.17734378,49.82265622,4.2410152000000005
mauritius,28,2,,,,,,,MUS,17.79369232,70.73213461,11.47417307,1265303.0,49.4228936,50.5771064,5.745666
mexico,316,2,1.38,2.43,2.9,7.6,72.5,4.4,MEX,26.55684819,66.21946683,7.223684981,126190788.0,48.91071917,51.08928083,5.46900124
moldova,94,1,,,,,,,MDA,15.86009086,72.67035279999999,11.46955634,3545883.0,47.96443688,52.03556312,8.98095464
monaco,23,0,,,,,,,MCO,,,,38682.0,,,1.74986203
mongolia,10,0,,,,,,,MNG,30.40956831,65.50689291,4.083538787,3170208.0,49.33045529,50.66954471,3.8090161
montenegro,21,0,,,,,,,MNE,18.20951914,66.81554422,14.97493664,622345.0,49.44098706,50.55901294,7.64204428
montserrat,1,0,,,,,,,,,,,,,,
morocco,115,4,,,,,,,MAR,27.20638013,65.78071505,7.012904821,36029138.0,49.59615271,50.40384729,5.83767147
mozambique,1,0,,,,,,,MOZ,44.67080015,52.43843539,2.890764457,29495962.0,48.5248089,51.4751911,5.066196499999999
myanmar,0,0,,,,,,,MMR,26.37104828,67.84430978,5.784641933,53708395.0,48.19210313,51.80789687,5.08779798
namibia,3,0,,,,,,,NAM,36.91024919,59.45371913,3.6360316810000004,2448255.0,48.44630968,51.55369032,9.12250271
nepal,1,0,,,,,,,NPL,30.41426532,63.8580639,5.727670776,28087871.0,45.46465667,54.53534333,6.29441655
netherlands,4204,179,3.32,,,16.8,47.3,8.3,NLD,16.10815871,64.69564866,19.19619263,17231017.0,49.77905644,50.22094356,10.35932019
netherlands_antilles,13,0,,,,,,,,,,,,,,
new_caledonia,5,0,,,,,,,NCL,22.74092567,68.08491641,9.174157925,284060.0,50.33894552,49.66105448,
new_zealand,102,0,2.61,3.33,10.29,13.1,66.8,8.8,NZL,19.65343146,64.69414402,15.65242453,4885500.0,49.1622306,50.8377694,9.22193561
nicaragua,2,0,,,,,,,NIC,30.201681199999996,64.55082135,5.247497448,6465513.0,49.28729432,50.71270568,8.74635494
niger,1,0,,,,,,,NER,49.98432461,47.42066751,2.595007883,22442948.0,50.2289974,49.7710026,6.22894111
nigeria,30,0,,,,,,,NGA,43.86663998,53.38598302,2.747377005,195874740.0,50.66388645,49.33611355,3.64671499
north_macedonia,114,1,,,,,,,MKD,16.51699963,69.81281899,13.67018138,2082958.0,50.03353406,49.96646594,6.34410858
norway,2132,7,3.6,4.82,17.81,12.0,46.0,6.0,NOR,17.54903838,65.40173947,17.04922216,5314336.0,50.47536887,49.52463113,10.50063009
oman,55,0,,,,,,,OMN,22.24650599,75.36070706,2.392786956,4829483.0,65.98591648,34.01408352,4.29254957
pakistan,784,5,,,,,,,PAK,35.269814600000004,60.41741109,4.312774311,212215030.0,51.46192528,48.53807472,2.75283024
palestine,59,0,,,,,,,,,,,,,,
panama,313,3,,,,,,,PAN,27.06230432,64.83296460000001,8.10473108,4176873.0,50.09461635,49.90538365,7.26068297
papua_new_guinea,1,0,,,,,,,PNG,35.815934399999996,60.73879635,3.445269251,8606316.0,51.03727213,48.96272787,1.97579249
paraguay,22,1,,,,,,,PRY,29.440505600000005,64.12927939,6.430215008999999,6956071.0,50.84838865,49.15161135,8.02487617
peru,363,5,,,,,,,PER,25.79060285,66.12100436,8.088392792,31989256.0,49.66224451,50.33775549,5.14391365
philippines,380,25,,,,,,,PHL,30.963040200000002,63.91439103,5.122568768,106651922.0,50.25834261,49.74165739,4.38594904
poland,634,7,6.62,2.38,5.1,,,10.6,POL,15.05227681,67.42990642,17.51781676,37978548.0,48.46929262,51.53070738,6.51647873
portugal,1600,14,3.39,,6.7,,67.6,10.7,PRT,13.45790782,64.58823464,21.95385754,10281762.0,47.28803829,52.71196171,9.07636096
qatar,494,0,,,,,,,QAT,13.54076419,85.08916548,1.370070339,2781677.0,75.50471262,24.49528738,3.07944355
romania,433,2,,,,,,,ROU,15.53455496,66.12674365,18.33870139,19473936.0,48.65625694,51.34374306,4.98040299
russia,438,0,8.05,4.04,8.47,30.3,,11.1,RUS,17.91408058,67.41121109999999,14.67470832,144478050.0,46.33823764,53.66176236,5.27112755
rwanda,19,0,,,,,,,RWA,39.97557302,57.086230900000004,2.9381960780000003,12301939.0,49.13893865,50.86106135,6.76069372
saint_lucia,2,0,,,,,,,LCA,18.528883,71.66458664,9.806530356,181889.0,49.24954643,50.75045357,5.30656361
saint_vincent_and_the_grenadines,1,0,,,,,,,VCT,22.54130713,67.86890601,9.589786862999999,110210.0,50.79121677,49.20878323,3.56292208
san_marino,151,20,,,,,,,SMR,,,,33785.0,,,6.39562063
saudi_arabia,511,0,,,,,,,SAU,25.04284813,71.64306385,3.314088023,33699947.0,57.55415202,42.44584798,5.74181331
senegal,67,0,,,,,,,SEN,43.05543037,53.85774593,3.086823701,15854360.0,48.72267023,51.27732977,5.51241197
serbia,188,1,,,,,,,SRB,15.68968075,65.96452656,18.34579269,6982084.0,48.99747704,51.00252296,9.13502874
seychelles,7,0,,,,,,,SYC,23.63537118,68.77008322,7.5945456039999995,96762.0,51.34508826,48.65491174,3.93610353
singapore,455,2,,,,,,,SGP,12.27828264,76.25833717,11.46338019,5638676.0,52.34187459,47.65812541,4.46958366
slovakia,185,0,5.82,3.42,5.65,,,9.7,SVK,15.44613676,68.92461673,15.629246499999999,5447011.0,48.66166748,51.33833252,7.12513052
slovenia,414,1,4.5,3.1,9.92,,,10.1,SVN,15.02177505,65.3713453,19.60687965,2067372.0,49.75479297,50.24520703,8.46829514
somalia,1,0,,,,,,,SOM,46.57658407,50.55010499,2.8733109430000003,15008154.0,49.86664979,50.13335021,
south_africa,274,0,,0.79,1.32,19.0,,7.1,ZAF,29.07948915,65.60250585,5.318005005,57779622.0,49.30584962,50.69415038,8.1098146
south_korea,8961,113,12.27,2.34,6.91,17.5,33.7,8.7,KOR,12.97332358,72.60812059,14.41855583,51635256.0,50.08311821,49.91688179,7.33752488
spain,28572,1720,2.97,3.88,5.74,22.1,53.0,8.6,ESP,14.66700111,65.95449137,19.37850752,46723749.0,49.10335869,50.89664131,8.97038932
sri_lanka,87,0,,,,,,,LKA,24.19700102,65.32977922,10.47321975,21670000.0,48.03318234,51.96681766,3.89324108
sudan,2,1,,,,,,,SDN,40.50879187,55.91004761,3.5811605280000003,41801533.0,49.95258547,50.04741453,5.6648529000000005
suriname,5,0,,,,,,,SUR,27.17026337,65.92336673,6.906369902000001,575991.0,50.28290569,49.71709431,6.06415279
sweden,1906,21,2.22,4.12,10.9,10.4,48.2,7.1,SWE,17.58178546,62.32268961,20.09552493,10183175.0,50.05422383,49.94577617,10.93479344
switzerland,6971,60,4.53,4.3,17.23,19.1,41.8,9.2,CHE,14.91095477,66.46582867,18.62321656,8516543.0,49.57287534,50.42712466,12.24760438
syria,1,0,,,,,,,SYR,31.42154081,64.07533477,4.503124421,16906283.0,50.18578864,49.81421136,
taiwan,165,2,,,,,,,,,,,,,,
thailand,721,1,,,,,,,THA,17.08698882,71.01211804,11.90089314,69428524.0,48.73129539,51.26870461,3.71143463
timor_leste,1,0,,,,,,,TLS,37.78066427,57.90284343,4.316492294,1267972.0,50.54153276,49.45846724,4.02059179
togo,15,0,,,,,,,TGO,41.334523499999996,55.79600849,2.8694680110000004,7889094.0,49.73195278,50.26804722,6.61568574
trinidad_and_tobago,50,0,,,,,,,TTO,20.41957257,68.84547391,10.73495352,1389858.0,49.40867337,50.59132663,6.5104014
tunisia,75,3,,,,,,,TUN,24.17012035,67.51420057,8.315679079,11565204.0,49.56284814,50.43715186,6.95195517
turkey,1236,30,2.81,1.87,2.07,26.5,64.4,1.4,TUR,24.64941014,66.86737692,8.48321294,82319724.0,49.3221868,50.6778132,4.3143198
uganda,1,0,,,,,,,UGA,46.93052518,51.128487899999996,1.94098692,42723139.0,49.2239211,50.7760789,6.16503174
ukraine,47,3,,,,,,,UKR,15.81241317,67.75290039,16.43468644,44622516.0,46.3122493,53.687750699999995,6.72703787
